FileName,F1,F2,F3,F4
u00001s00001_hw00001,4772,7107,11986,7
u00002s00001_hw00001,7990,9384,17525,10
u00003s00001_hw00001,12613,10152,22915,10
u00004s00001_hw00001,4700,7350,12185,9
u00005s00001_hw00001,8413,7095,15686,12
u00006s00001_hw00001,1999,11236,13273,3
u00007s00001_hw00001,22864,9195,32283,15
u00008s00001_hw00001,14462,8610,23349,18
u00009s00001_hw00001,2328,7232,9590,3
u00010s00001_hw00001,8843,7925,16915,10
u00011s00001_hw00001,10014,10648,20804,10
u00012s00001_hw00001,1537,4674,6228,2
u00013s00001_hw00001,5569,8047,13736,8
u00014s00001_hw00001,5628,8386,14132,8
u00015s00001_hw00001,9995,9280,19434,10
u00016s00001_hw00001,20511,12583,33338,15
u00017s00001_hw00001,33844,21513,55691,20
u00018s00001_hw00001,2066,11049,13135,2
u00019s00001_hw00001,13813,10579,24560,11
u00020s00001_hw00001,9505,6794,16467,11
u00021s00001_hw00001,9505,6794,16467,11
u00021s00001_hw00001,12797,11447,24451,14
u00022s00001_hw00001,2744,9689,12480,4
u00023s00001_hw00001,8240,6082,14485,11
u00024s00001_hw00001,12818,11702,24679,10
u00025s00001_hw00001,9278,8196,17658,12
u00026s00001_hw00001,4173,8950,13210,6
u00027s00001_hw00001,13229,10962,24393,12
u00028s00001_hw00001,11133,8897,20219,12
u00029s00001_hw00001,5053,16520,21594,2
u00030s00001_hw00001,11069,11626,22857,10
u00031s00001_hw00001,14326,12145,26651,11
u00032s00001_hw00001,1086,14017,15121,2
u00033s00001_hw00001,6348,13971,20490,11
u00034s00001_hw00001,12646,9787,22589,10
u00035s00001_hw00001,4043,8823,12892,2
u00036s00001_hw00001,6439,13024,19506,3
u00037s00001_hw00001,4124,9394,13559,3
u00038s00001_hw00001,6831,12030,18954,6
u00039s00001_hw00001,7697,6792,14599,7
u00040s00001_hw00001,12139,6997,19290,10
u00041s00001_hw00001,8370,11343,19808,6
u00042s00001_hw00001,1955,12673,14647,2
u00043s00001_hw00001,7857,11219,19200,8
u00044s00001_hw00001,9105,10806,19995,5
u00045s00001_hw00001,4616,10589,15262,4
